,Backgrounds ,Skin ,Clothing,Eyes,Eyewear,Head,Tusks,Mouth
0,bg-army-green_C,Elephant_Sky_Blue_C,None,Elephant base eyes_C,None,None ,None ,None 
1,bg-purple1_C,Elephant_Blue_C,Hoodie_brown_C,Elephant base eyes_C,None,headband_green_UC,None ,None 
2,bg-red_C,Elephant_Blue_C,Hoodie_brown_C,Elephant base eyes_C,VR_headset_off_M,bandana_purple_R,None ,None 
3,bg-army-green-2_C,Elephant_Sky_Blue_C,None,Elephant base eyes_C,Aviator_sunglasses_blue_C,bitcoin_cap_pink_gold_R,None ,None 
4,bg-army-green-2_C,Elephant_Sky_Blue_C,Hoodie_orange_C,Elephant base eyes_C,None,None ,None ,None 
5,bg-red_C,Elephant_Sky_Blue_C,Hoodie_orange_C,Elephant base eyes_C,None,bitcoin_cap_brown_silver_UC,None ,None 
6,bg-army-green-2_C,Elephant_Red_C,NFL_jersey1_R,Elephant base eyes_C,Aviator_sunglasses_red_clear_C,None ,None ,None 
7,bg-orange_C,Elephant_Grey_C,T-shirt_blue_C,Elephant base eyes_C,Aviator_sunglasses_pink_clear_UC,bitcoin_cap_brown_gold_R,None ,None 
8,bg-punk-pink_C,Elephant_Purple_C,T-shirt_blue_C,Elephant base eyes_C,Wayfarer_sunglasses_black-red_UC,bandana_brown_UC,None ,None 
9,BG-purple_C,Elephant_Sky_Blue_C,Hoodie_brown_C,Elephant base eyes_C,Aviator_sunglasses_blue_C,headband_green_UC,None ,None 
10,bg-orange_C,Elephant_Blue_C,Hoodie_yellow_C,Elephant base eyes_C,Aviator_sunglasses_pink_UC,headband_orange_UC,None ,None 
11,bg-purple1_C,Elephant_Sky_Blue_C,T-shirt_black_C,Elephant base eyes_C,Aviator_sunglasses_red_C,baseball_cap3_R,None ,None 
12,bg-orange_C,Elephant_Grey_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-blue_C,bandana_white_R,None ,None 
13,bg-blue_C,Elephant_Purple_C,None,Elephant base eyes_C,Wayfarer_sunglasses_funny_R,headband_orange_UC,new_guns_tusks_downward_L,None 
14,BG-purple_C,Elephant_Purple_C,Hoodie_green_C,Elephant base eyes_C,Wayfarer_sunglasses_black-blue_C,None ,None ,None 
15,bg-punk-pink_C,Elephant_Sky_Blue_C,T-shirt_blue_C,Elephant base eyes_C,VR_headset_2_blue_R,bandana_blue_R,None ,None 
16,bg-red_C,Elephant_Pink_C,T-shirt_blue_C,Elephant base eyes_C,None,elephant_mohawk1_neon_L,None ,None 
17,bg-yellow_C,Elephant_Blue_C,T-shirt_black_C,Elephant base eyes_C,Wayfarer_sunglasses_flames-black_R,bitcoin_cap_pink_silver_UC,None ,None 
18,bg-purple1_C,Elephant_Grey_C,None,Elephant base eyes_C,None,None ,None ,None 
19,bg-yellow_C,Elephant_Green_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-yellow_C,elephant_mohawk1_neon_L,None ,None 
20,bg-punk-blue3_C,Elephant_Green_C,None,Elephant base eyes_C,Aviator_sunglasses_black_clear_UC,bandana_green_UC,None ,None 
21,bg-punk-blue2_C,Elephant_Green_C,None,Elephant base eyes_C,None,None ,None ,None 
22,BG-purple_C,Elephant_Red_C,T-shirt_black_C,Elephant base eyes_C,Wayfarer_sunglasses_black-blue_C,None ,None ,None 
23,bg-red_C,Elephant_Green_C,None,Elephant base eyes_C,Aviator_sunglasses_yellow_gold_clear_UC,None ,None ,None 
24,bg-yellow_C,Elephant_Sky_Blue_C,Hoodie_yellow_C,Elephant base eyes_C,Aviator_sunglasses_red_C,None ,None ,None 
25,bg-punk-pink_C,Elephant_Blue_C,Hoodie_brown_C,Elephant base eyes_C,Wayfarer_sunglasses_black-black_UC,baseball_cap1_R,None ,None 
26,BG_Yellow_C,Elephant_Pink_C,None,Elephant base eyes_C,Wayfarer_sunglasses_black-yellow_C,None ,None ,None 
27,bg-punk-blue3_C,Elephant_Green_C,None,Elephant base eyes_C,None,bandana_white_R,None ,None 
28,BG-purple_C,Elephant_Purple_C,Hoodie_military2_UC,Elephant base eyes_C,Wayfarer_sunglasses_black-yellow_C,bandana_blue_R,None ,None 
29,bg-yellow_C,Elephant_Sky_Blue_C,Hoodie_yellow_C,Elephant base eyes_C,Wayfarer_sunglasses_black-blue_C,bitcoin_cap_red_silver_UC,None ,elephant_cigar_SR
30,bg-punk-blue3_C,Elephant_Grey_C,Hoodie_orange_C,Elephant base eyes_C,None,None ,None ,None 
31,bg-punk-blue3_C,Elephant_Yellow_R,Hoodie_orange_C,Elephant base eyes_C,Aviator_sunglasses_red_C,None ,None ,None 
